Date,Open,High,Low,Close,Adj Close,Volume
2020-06-15,32.000000,33.320000,31.700001,33.070000,31.050718,33572800
2020-06-16,34.500000,34.669998,33.099998,33.500000,31.454460,23341500
2020-06-17,33.439999,34.770000,33.360001,34.500000,32.393406,18945300
2020-06-18,34.180000,35.130001,33.799999,34.400002,32.299511,18913800
2020-06-19,34.900002,35.119999,33.900002,33.939999,31.867596,20326300
2020-06-22,34.209999,34.419998,33.000000,33.240002,31.210342,15139200
2020-06-23,33.799999,34.040001,33.099998,33.529999,31.482634,16289000
2020-06-24,33.340000,33.599998,31.910000,32.220001,30.252621,24448100
2020-06-25,32.340000,33.049999,32.080002,33.009998,30.994381,19013400
2020-06-26,32.650002,32.880001,31.820000,31.820000,29.877045,14806900
2020-06-29,32.169998,33.439999,31.940001,33.439999,31.398129,18321000
2020-06-30,33.209999,33.220001,32.020000,32.150002,30.186893,25268700
2020-07-01,32.419998,33.270000,32.180000,33.070000,31.050718,17012800
2020-07-02,33.630001,34.240002,33.000000,33.160000,31.135221,19976000
2020-07-03,33.119999,33.500000,32.680000,33.500000,31.454460,8194600
2020-07-06,34.360001,34.990002,34.070000,34.669998,32.553024,19120300
2020-07-07,34.299999,34.360001,33.279999,33.279999,31.247894,23168300
2020-07-08,33.709999,34.200001,33.520000,34.090000,32.008430,17648100
2020-07-09,34.180000,34.320000,33.810001,33.959999,31.886374,11247600
2020-07-10,33.889999,34.340000,33.549999,34.139999,32.055386,14193400
2020-07-13,34.450001,34.790001,33.799999,33.799999,31.736149,14199100
2020-07-14,33.830002,34.410000,33.500000,34.349998,32.252567,14317900
2020-07-15,34.700001,35.070000,34.389999,34.689999,32.571800,14782300
2020-07-16,34.410000,34.560001,34.080002,34.400002,32.299511,10078300
2020-07-17,34.500000,35.459999,34.470001,35.459999,33.294781,17077800
2020-07-20,35.490002,35.680000,34.869999,35.320000,33.163334,15869700
2020-07-21,35.750000,36.200001,35.270000,35.490002,33.322952,19201300
2020-07-22,35.650002,35.689999,34.709999,35.200001,33.050655,13628100
2020-07-23,35.259998,35.259998,34.209999,34.349998,32.252567,14245100
2020-07-24,34.000000,34.619999,33.650002,33.950001,31.876984,17200000
2020-07-27,33.700001,35.070000,33.540001,34.910000,32.778362,23781800
2020-07-28,34.700001,35.779999,34.549999,35.029999,32.891041,17055500
2020-07-29,35.380001,35.950001,35.150002,35.950001,33.754871,13101300
2020-07-30,35.119999,35.540001,34.520000,34.799999,32.675087,23154800
2020-07-31,34.900002,34.970001,33.570000,33.580002,31.529579,20701300
2020-08-03,34.240002,35.040001,33.779999,34.349998,32.252567,24030700
2020-08-04,33.880001,34.599998,33.009998,33.299999,31.266672,20774400
2020-08-05,33.810001,33.970001,32.900002,33.330002,31.294847,14184600
2020-08-06,33.759998,34.430000,33.139999,34.349998,32.252567,18267300
2020-08-07,34.000000,34.939999,33.599998,34.110001,32.027214,18561800
2020-08-10,34.119999,34.599998,33.750000,34.430000,32.327675,9726000
2020-08-11,34.599998,34.889999,33.900002,33.930000,31.858208,14045800
2020-08-12,34.000000,34.419998,33.200001,33.750000,31.689198,18029600
2020-08-13,33.889999,34.400002,33.049999,33.070000,31.050718,15011800
2020-08-14,33.099998,33.500000,32.790001,33.180000,31.154001,10808700
2020-08-17,33.169998,33.349998,31.889999,32.330002,30.355906,21951800
2020-08-18,32.900002,32.970001,32.400002,32.770000,30.769043,14524500
2020-08-19,32.849998,32.970001,32.520000,32.619999,30.628197,10398700
2020-08-20,32.099998,32.730000,31.900000,32.650002,30.656364,22908300
2020-08-21,32.500000,33.080002,32.330002,32.950001,30.938049,11677400
2020-08-24,32.889999,34.000000,32.799999,33.450001,31.834545,19409300
2020-08-25,33.779999,33.950001,33.049999,33.250000,31.644203,11829700
2020-08-26,33.139999,33.439999,32.060001,32.450001,30.882832,16625400
2020-08-27,32.509998,33.439999,32.360001,32.750000,31.168348,15937400
2020-08-28,33.020000,33.509998,32.980000,33.389999,31.777439,11382300
2020-08-31,33.389999,33.389999,32.650002,32.650002,31.073181,13968600
